ob_end_time, id_type, id, ob_hour_count, version_num, met_domain_name, src_id, rec_st_ind, max_air_temp, min_air_temp, min_grss_temp, min_conc_temp, max_air_temp_q, min_air_temp_q, min_grss_temp_q, min_conc_temp_q, meto_stmp_time, midas_stmp_etime, max_air_temp_j, min_air_temp_j, min_grss_temp_j, min_conc_temp_j
1965-02-22 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 4.4, 1.1, .6, , 9, 9, 9, 0, , , , , ,
1965-02-22 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, .6, -3.3, -3.9, , 9, 9, 9, 0, , , , , ,
1965-02-23 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 6.1, 3.3, 1.7, , 9, 9, 9, 0, , , , , ,
1965-02-23 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 5.6, 1.7, -.6, , 9, 9, 9, 0, , , , , ,
1965-02-23 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 1.7, -1.1, -2.2, , 9, 9, 9, 0, , , , , ,
1965-02-24 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 5.6, 1.1, -2.2, , 9, 9, 9, 0, , , , , ,
1965-02-24 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 6.1, 1.1, -.6, , 9, 9, 9, 0, , , , , ,
1965-02-24 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 1.1, 0, -.6, , 9, 9, 9, 0, , , , , ,
1965-02-25 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 6.7, 1.7, 0, , 9, 9, 9, 0, , , , , ,
1965-02-25 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 4.4, -1.1, -3.9, , 9, 9, 9, 0, , , , , ,
1965-02-25 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 2.8, -2.8, -3.9, , 9, 9, 9, 0, , , , , ,
1965-02-26 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 4.4, 1.7, -1.1, , 9, 9, 9, 0, , , , , ,
1965-02-26 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 5, -1.1, -3.9, , 9, 109, 109, 0, , , , , ,
1965-02-26 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 3.3, -1.7, -2.2, , 9, 9, 9, 0, , , , , ,
1965-02-27 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 5.6, 1.1, -.6, , 9, 9, 9, 0, , , , , ,
1965-02-27 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 6.1, .6, -2.2, , 9, 9, 9, 0, , , , , ,
1965-02-27 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 3.3, -2.8, -3.3, , 9, 9, 9, 0, , , , , ,
1965-02-28 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 5.6, 0, -4.4, , 9, 109, 109, 0, , , , , ,
1965-02-28 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 5, -1.1, -5, , 9, 109, 109, 0, , , , , ,
1965-02-28 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 2.8, -1.1, -1.1, , 9, 9, 9, 0, , , , , ,
1965-03-01 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 2.2, -3.3, -6.7, , 9, 109, 109, 0, , , , , ,
1965-03-01 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 6.1, -2.2, -.6, , 9, 109, 109, 0, , , , , ,
